i,t,c,sys,stage,value
Anhui,2016,maize,spring,sowing,73.2597213114754
Anhui,2016,maize,summer,growing,81.89279347826087
Anhui,2016,maize,summer,harvesting,80.89370655737704
Anhui,2016,maize,summer,sowing,77.82727419354839
Anhui,2016,rice,single,growing,79.53078562091503
Anhui,2016,rice,single,harvesting,87.51898064516129
Anhui,2016,rice,single,sowing,79.86069333333333
Anhui,2016,soybean,single,growing,81.89279347826087
Anhui,2016,soybean,single,harvesting,80.89370655737704
Anhui,2016,soybean,single,sowing,77.82727419354839
Anhui,2016,wheat,winter,growing,74.78366650943397
Anhui,2016,wheat,winter,harvesting,83.76272333333333
Anhui,2016,wheat,winter,sowing,75.62032950819673
Anhui,2017,maize,spring,growing,75.53527717391304
Anhui,2017,maize,spring,harvesting,84.4662064516129
Anhui,2017,maize,spring,sowing,69.65693442622951
Anhui,2017,maize,summer,growing,80.11360108695652
Anhui,2017,maize,summer,harvesting,83.46358196721312
Anhui,2017,maize,summer,sowing,70.87892258064515
Anhui,2017,rice,single,growing,79.29410849673204
Anhui,2017,rice,single,harvesting,81.51541290322581
Anhui,2017,rice,single,sowing,69.68527999999999
Anhui,2017,soybean,single,growing,80.11360108695652
Anhui,2017,soybean,single,harvesting,83.46358196721312
Anhui,2017,soybean,single,sowing,70.87892258064515
Anhui,2017,wheat,winter,growing,73.71450657276995
Anhui,2017,wheat,winter,harvesting,78.00237999999999
Anhui,2017,wheat,winter,sowing,80.89370655737704
Anhui,2018,maize,spring,growing,79.50974891304348
Anhui,2018,maize,spring,harvesting,82.01356451612904
Anhui,2018,maize,spring,sowing,74.04097704918033
Anhui,2018,maize,summer,growing,79.7309902173913
Anhui,2018,maize,summer,harvesting,72.59219836065574
Anhui,2018,maize,summer,sowing,81.35697741935483
Anhui,2018,rice,single,growing,79.7237366013072
Anhui,2018,rice,single,harvesting,67.34547741935484
Anhui,2018,rice,single,sowing,71.68426666666666
Anhui,2018,soybean,single,growing,79.7309902173913
Anhui,2018,soybean,single,harvesting,72.59219836065574
Anhui,2018,soybean,single,sowing,81.35697741935483
Anhui,2018,wheat,winter,growing,73.4905858490566
Anhui,2018,wheat,winter,harvesting,75.82614333333332
Anhui,2018,wheat,winter,sowing,83.46358196721312
Anhui,2019,maize,spring,growing,72.66586956521739
Anhui,2019,maize,spring,harvesting,77.35868064516129
Anhui,2019,maize,spring,sowing,72.82382950819672
Anhui,2019,maize,summer,growing,76.62280652173914
Anhui,2019,maize,summer,harvesting,72.39408852459016
Anhui,2019,maize,summer,sowing,65.6155129032258
Anhui,2019,rice,single,growing,73.56369934640523
Anhui,2019,rice,single,harvesting,72.39266129032258
Anhui,2019,rice,single,sowing,76.35170666666666
Anhui,2019,soybean,single,growing,76.62280652173914
Anhui,2019,soybean,single,harvesting,72.39408852459016
Anhui,2019,soybean,single,sowing,65.6155129032258
Anhui,2019,wheat,winter,growing,76.7312216981132
Anhui,2019,wheat,winter,harvesting,74.06778
Anhui,2019,wheat,winter,sowing,72.59219836065574
Anhui,2020,maize,spring,growing,80.51993152173914
Anhui,2020,maize,spring,harvesting,80.58037419354838
Anhui,2020,maize,spring,sowing,68.5196655737705
Anhui,2020,maize,summer,growing,83.85778260869566
Anhui,2020,maize,summer,harvesting,76.69302622950819
Anhui,2020,maize,summer,sowing,70.67449354838709
Anhui,2020,rice,single,growing,80.01123594771242
Anhui,2020,rice,single,harvesting,75.56067096774193
Anhui,2020,rice,single,sowing,63.966543333333334
Anhui,2020,soybean,single,growing,83.85778260869566
Anhui,2020,soybean,single,harvesting,76.69302622950819
Anhui,2020,soybean,single,sowing,70.67449354838709
Anhui,2020,wheat,winter,growing,73.09715188679245
Anhui,2020,wheat,winter,harvesting,82.27106
Anhui,2020,wheat,winter,sowing,72.39408852459016
Anhui,2021,maize,spring,growing,78.33675434782609
Anhui,2021,maize,spring,harvesting,85.53307096774193
Anhui,2021,maize,spring,sowing,76.36752786885246
Anhui,2021,maize,summer,growing,81.54655217391304
Anhui,2021,maize,summer,harvesting,77.76524426229508
Anhui,2021,maize,summer,sowing,76.00721935483871
Anhui,2021,rice,single,growing,79.75190980392156
Anhui,2021,rice,single,harvesting,77.42400967741935
Anhui,2021,rice,single,sowing,74.34640666666668
Anhui,2021,soybean,single,growing,81.54655217391304
Anhui,2021,soybean,single,harvesting,77.76524426229508
Anhui,2021,soybean,single,sowing,76.00721935483871
Anhui,2021,wheat,winter,growing,73.29937887323943
Anhui,2021,wheat,winter,harvesting,74.92733333333334
Anhui,2021,wheat,winter,sowing,76.69302622950819
Anhui,2022,maize,spring,growing,72.49987173913043
Anhui,2022,maize,spring,harvesting,73.83046774193548
Anhui,2022,maize,spring,sowing,68.57811967213115
Anhui,2022,maize,summer,growing,74.69756304347825
Anhui,2022,maize,summer,harvesting,69.1698049180328
