i,t,c,sys,stage,value
Guangxi,1998,rice,late_double,harvesting,0.6258702260961087
Guangxi,1998,rice,late_double,sowing,-3.6523494368308045
Guangxi,1998,rice,single,growing,-1.0345406173366405
Guangxi,1998,rice,single,harvesting,0.12849225581957863
Guangxi,1998,rice,single,sowing,-0.8322734129616929
Guangxi,1998,soybean,single,growing,-1.4087538883164097
Guangxi,1998,soybean,single,harvesting,0.7973940117916032
Guangxi,1998,soybean,single,sowing,-1.0327497747658185
Guangxi,1999,maize,spring,growing,0.0009189196541794786
Guangxi,1999,maize,spring,harvesting,-2.9828066079647133
Guangxi,1999,maize,spring,sowing,-0.537487680998386
Guangxi,1999,rice,early_double,growing,-0.35611815895240473
Guangxi,1999,rice,early_double,harvesting,1.4967457216567226
Guangxi,1999,rice,early_double,sowing,-0.537487680998386
Guangxi,1999,rice,late_double,growing,-1.2722435632430151
Guangxi,1999,rice,late_double,harvesting,-0.7844404452461817
Guangxi,1999,rice,late_double,sowing,1.4967457216567226
Guangxi,1999,rice,single,growing,-0.33416397836439754
Guangxi,1999,rice,single,harvesting,-0.4583037306473685
Guangxi,1999,rice,single,sowing,-1.3898132487341817
Guangxi,1999,soybean,single,growing,-0.8547988348975595
Guangxi,1999,soybean,single,harvesting,0.15992281645100398
Guangxi,1999,soybean,single,sowing,-0.35611815895240473
Guangxi,2000,maize,spring,growing,1.153908102050826
Guangxi,2000,maize,spring,harvesting,0.7262431968362333
Guangxi,2000,maize,spring,sowing,-0.4605926632178415
Guangxi,2000,rice,early_double,growing,-0.9404149514303388
Guangxi,2000,rice,early_double,harvesting,1.5882631307450639
Guangxi,2000,rice,early_double,sowing,-0.4605926632178415
Guangxi,2000,rice,late_double,growing,0.9627239601936457
Guangxi,2000,rice,late_double,harvesting,-1.0833650449508592
Guangxi,2000,rice,late_double,sowing,1.5882631307450639
Guangxi,2000,rice,single,growing,1.4167363590622777
Guangxi,2000,rice,single,harvesting,-2.364042846576853
Guangxi,2000,rice,single,sowing,-0.8963341497995346
Guangxi,2000,soybean,single,growing,1.4131399854208493
Guangxi,2000,soybean,single,harvesting,-1.2628799515745106
Guangxi,2000,soybean,single,sowing,-0.9404149514303388
Guangxi,2001,maize,spring,growing,-1.6576394367896787
Guangxi,2001,maize,spring,harvesting,-0.8820682254974863
Guangxi,2001,maize,spring,sowing,-0.2590672229634221
Guangxi,2001,rice,early_double,growing,-0.8914696999862044
Guangxi,2001,rice,early_double,harvesting,-1.7515644396845245
Guangxi,2001,rice,early_double,sowing,-0.2590672229634221
Guangxi,2001,rice,late_double,growing,-0.8120901724166301
Guangxi,2001,rice,late_double,harvesting,-0.3490303404563807
Guangxi,2001,rice,late_double,sowing,-1.7515644396845245
Guangxi,2001,rice,single,growing,-1.2136866747504576
Guangxi,2001,rice,single,harvesting,-0.6867105301305416
Guangxi,2001,rice,single,sowing,-0.4491563167958168
