i,r,t,scenario,drought,heat,compound
Jiangxi,maize,2011,historical,2.00224839446109,0.4618569163256695,1.139890414382826
Jiangxi,rice,2011,historical,0.9458336543061594,0.14787245300214,0.2698864506967852
Jiangxi,soybean,2011,historical,0.282187727926014,0.1787341470471277,0.2261356983749651
Jiangxi,wheat,2011,historical,0.6576730757469008,0.2421438812502911,-0.1694631362573439
Jilin,maize,2011,historical,0.7298349189237164,-0.4138119743087358,-0.4660994653621944
Jilin,rice,2011,historical,0.9200179495891926,-0.3372185380556196,-0.3849591955383713
Jilin,soybean,2011,historical,0.8237586211410773,-0.4325818822585427,-0.5383914353196627
Jilin,wheat,2011,historical,0.491606911574737,-0.4138119743087358,-0.4660994653621944
Liaoning,maize,2011,historical,-0.2203758408627013,-0.5599606493418102,-0.3517855894698682
Liaoning,rice,2011,historical,0.1563015235921623,-0.345042087788924,-0.2896811260797859
Liaoning,soybean,2011,historical,0.4569158638074267,-0.6306422447244917,-0.5994052900498432
Liaoning,wheat,2011,historical,-0.5366439199185375,-0.5599606493418102,-0.3517855894698682
Ningxia,maize,2011,historical,1.6054400758480618,0.1847077923688949,0.4334857427459904
Ningxia,rice,2011,historical,0.8595835205448905,-0.0452532966525387,0.2049221415880975
Ningxia,soybean,2011,historical,-0.2148031607462922,-0.2671393532097187,-0.2206427712767169
Ningxia,wheat,2011,historical,0.4099645748939637,-0.3333409496855702,-0.2696266592098343
Qinghai,maize,2011,historical,0.3423426906270163,0.0,0.0
Qinghai,soybean,2011,historical,-0.0631337618358762,-0.0942979896064075,-0.0943564195120496
Qinghai,wheat,2011,historical,0.6429216283386041,0.0,0.0
Shaanxi,maize,2011,historical,-0.5645361152668343,-0.2941521594695065,-0.0857174942004681
Shaanxi,rice,2011,historical,0.3918009451999704,-0.2210615799002443,-0.1477283793077098
Shaanxi,soybean,2011,historical,-1.2830970081624091,-0.2554898092476011,-0.1055508591628018
Shaanxi,wheat,2011,historical,0.7268571982340754,-0.0583427937781675,0.2633376247663427
Shandong,maize,2011,historical,0.1441844180111688,-0.7414443971810608,-0.5410420479522021
Shandong,rice,2011,historical,0.6198882609059868,-0.5529381786579354,-0.3935144589565112
Shandong,soybean,2011,historical,-0.3368258063771709,-0.7466871728204509,-0.6415520730043275
Shandong,wheat,2011,historical,0.7019986557857392,-0.5658690919341329,-0.6053132086280053
Shanghai,maize,2011,historical,0.2834256015184223,-0.3304761653864167,-0.1634094199159281
Shanghai,rice,2011,historical,1.1492846335284084,0.0012034330876239,-0.2491442103311882
Shanghai,soybean,2011,historical,0.9792697126418792,-0.2349235422891424,0.5128862519945384
Shanghai,wheat,2011,historical,0.8056274015400238,0.5159941424914999,1.2812412899165804
Shanxi,maize,2011,historical,-0.0470345192082516,-0.6527315985834083,-0.5925892778930346
Shanxi,rice,2011,historical,-0.012540871398863,-0.5726387197411809,-0.5004099094482307
Shanxi,soybean,2011,historical,-0.4991509938655735,-0.6887287268826734,-0.6446743981791436
Shanxi,wheat,2011,historical,1.0537217762242688,-0.6119837533888864,-0.5511628186890505
Sichuan,maize,2011,historical,1.923669713347164,-0.2114592256181673,0.3115008319693947
Sichuan,rice,2011,historical,1.1980242791683893,-0.1162941473907246,0.3621302874190459
Sichuan,soybean,2011,historical,0.8486204581051652,1.3860626278119288,1.8705265782874556
Sichuan,wheat,2011,historical,0.6117536533697584,-0.2803614677629565,-0.2725954580978915
Tianjin,maize,2011,historical,0.1708353543669114,-0.6571404308844825,-0.6814861405297149
Tianjin,rice,2011,historical,0.0019199022058701,-0.4033467771409826,-0.6812810393570307
Tianjin,soybean,2011,historical,-0.2956302274081734,-0.8564759951868822,-0.8833646053905203
Tianjin,wheat,2011,historical,0.4505305974177596,0.0793345348330364,-0.3204944653179204
Tibet,maize,2011,historical,0.1112879672319343,0.0,0.0
Tibet,rice,2011,historical,0.4607265378842192,0.0,0.0
Tibet,soybean,2011,historical,0.2100833460969244,0.0,0.0
Tibet,wheat,2011,historical,0.4642172631416705,0.0,0.0
Xinjiang,maize,2011,historical,2.153568239746245,0.0859724395662005,0.0669350651823732
Xinjiang,rice,2011,historical,1.8796204287012677,-0.0571653275342323,-0.0471094252498476
Xinjiang,soybean,2011,historical,1.0117410152153488,-0.1666056614026164,-0.1122092591241811
Xinjiang,wheat,2011,historical,2.2764625020760367,0.0207998719232032,0.0833146508734489
Yunnan,maize,2011,historical,1.2314716016948846,-0.3782018216302481,-0.5434088481831817
Yunnan,rice,2011,historical,1.1289030615738267,-0.3869222161217119,-0.4208427174185027
Yunnan,soybean,2011,historical,1.5094884966804103,-0.4539145826973134,-0.3898728950550891
Yunnan,wheat,2011,historical,-0.3813014693634532,-0.3479284339430348,-0.4580122588928811
Zhejiang,maize,2011,historical,0.7355826090020322,-0.0051652760407808,-0.436501395056151
Zhejiang,rice,2011,historical,0.5790356626827391,-0.204308179961289,-0.4044590386780298
Zhejiang,soybean,2011,historical,0.2795738357117598,-0.1591151740248617,0.2042213128253171
Zhejiang,wheat,2011,historical,-0.325907985277568,-0.1359851940831406,0.0743088803233915
Anhui,maize,2012,historical,0.9581650261545444,-0.2345473687670309,0.0804422056908758
Anhui,rice,2012,historical,1.671264574458034,-0.2335154615030359,-0.0871112892636978
Anhui,soybean,2012,historical,1.139183569457128,-0.4012266785146923,-0.0549539754112685
Anhui,wheat,2012,historical,1.0122334094865568,-0.2312838233819771,-0.2147403910563505
Beijing,maize,2012,historical,-0.4068325158065708,-0.7158928446738547,0.0365219878967488
Beijing,rice,2012,historical,-0.3975930105895509,-0.5656807030979415,-0.1570334889620238
Beijing,soybean,2012,historical,-0.212978582218362,-0.7032772396980849,-0.2614471287947572
Beijing,wheat,2012,historical,-0.3483951448231709,-0.7286139004658284,-0.4511443957878452
Chongqing,maize,2012,historical,0.4898361147277996,-0.3687966334580843,-0.7867705797175303
Chongqing,rice,2012,historical,0.5443472078590185,-0.4913461873050677,-0.7901452930316116
Chongqing,soybean,2012,historical,-0.79186185740148,-0.7441745121153901,-1.1455205624640497
Chongqing,wheat,2012,historical,0.0679236158356197,-0.354006386297843,-0.9210704531992756
Fujian,maize,2012,historical,-0.1774627813679142,-0.5329189969742103,-0.0522255162088162
Fujian,rice,2012,historical,-0.2291871705605735,-0.6005104668892904,-0.5137154112572122
