i,c,t,production_10k_tons
Qinghai,rice,2003,0.0
Qinghai,soybean,2003,8.9
Qinghai,wheat,2003,36.8
Shaanxi,maize,2003,373.2
Shaanxi,rice,2003,75.5
Shaanxi,soybean,2003,24.6
Shaanxi,wheat,2003,395.5
Shandong,maize,2003,1411.02
Shandong,rice,2003,77.89
Shandong,soybean,2003,82.33
Shandong,wheat,2003,1565.03
Shanghai,maize,2003,3.15
Shanghai,rice,2003,82.2
Shanghai,soybean,2003,2.23
Shanghai,wheat,2003,7.39
Shanxi,maize,2003,476.95
Shanxi,rice,2003,1.24
Shanxi,soybean,2003,48.71
Shanxi,wheat,2003,255.98
Sichuan,maize,2003,517.3
Sichuan,rice,2003,1471.91
Sichuan,soybean,2003,113.9
Sichuan,wheat,2003,426.2
Tianjin,maize,2003,64.81
Tianjin,rice,2003,5.65
Tianjin,soybean,2003,6.24
Tianjin,wheat,2003,35.91
Tibet,maize,2003,1.62
Tibet,rice,2003,0.56
Tibet,soybean,2003,3.35
Tibet,wheat,2003,27.23
Xinjiang,maize,2003,317.34
Xinjiang,rice,2003,50.73
Xinjiang,soybean,2003,27.02
Xinjiang,wheat,2003,344.1
Yunnan,maize,2003,399.93
Yunnan,rice,2003,635.89
Yunnan,soybean,2003,85.78
Yunnan,wheat,2003,124.35
Zhejiang,maize,2003,21.5
Zhejiang,rice,2003,646.9
Zhejiang,soybean,2003,41.68
Zhejiang,wheat,2003,20.84
Anhui,maize,2004,320.79
Anhui,rice,2004,1292.14
Anhui,soybean,2004,119.3
Anhui,wheat,2004,790.1
Beijing,maize,2004,43.51
Beijing,rice,2004,0.5
Beijing,soybean,2004,3.18
Beijing,wheat,2004,20.26
Chongqing,maize,2004,227.8
Chongqing,rice,2004,509.5
Chongqing,soybean,2004,38.1
Chongqing,wheat,2004,78.4
Fujian,maize,2004,12.65
Fujian,rice,2004,545.62
Fujian,soybean,2004,24.66
Fujian,wheat,2004,1.92
Gansu,maize,2004,245.03
Gansu,rice,2004,3.87
Gansu,soybean,2004,38.02
Gansu,wheat,2004,272.32
Guangdong,maize,2004,56.06
Guangdong,rice,2004,1123.13
Guangdong,soybean,2004,23.98
Guangdong,wheat,2004,1.71
Guangxi,maize,2004,176.1
Guangxi,rice,2004,1123.4
Guangxi,soybean,2004,37.4
Guangxi,wheat,2004,1.9
Guizhou,maize,2004,333.9
Guizhou,rice,2004,477.01
Guizhou,soybean,2004,40.6
Guizhou,wheat,2004,76.8
Hainan,maize,2004,4.67
Hainan,rice,2004,147.16
Hainan,soybean,2004,2.88
Hainan,wheat,2004,
Hebei,maize,2004,1157.58
Hebei,rice,2004,47.27
Hebei,soybean,2004,57.56
Hebei,wheat,2004,1053.2
Heilongjiang,maize,2004,939.5
Heilongjiang,rice,2004,1130.0
Heilongjiang,soybean,2004,693.5
Heilongjiang,wheat,2004,83.0
Henan,maize,2004,1049.95
Henan,rice,2004,358.22
Henan,soybean,2004,118.01
Henan,wheat,2004,2480.93
Hubei,maize,2004,179.13
Hubei,rice,2004,1501.68
Hubei,soybean,2004,65.77
Hubei,wheat,2004,176.3
Hunan,maize,2004,126.63
Hunan,rice,2004,2285.51
Hunan,soybean,2004,56.38
Hunan,wheat,2004,14.56
Inner_Mongolia,maize,2004,948.0
Inner_Mongolia,rice,2004,54.5
Inner_Mongolia,soybean,2004,135.1
Inner_Mongolia,wheat,2004,110.5
Jiangsu,maize,2004,216.56
Jiangsu,rice,2004,1673.16
Jiangsu,soybean,2004,93.77
Jiangsu,wheat,2004,687.7
Jiangxi,maize,2004,4.8
Jiangxi,rice,2004,1579.4
Jiangxi,soybean,2004,23.77
Jiangxi,wheat,2004,2.93
Jilin,maize,2004,1810.0
Jilin,rice,2004,437.62
Jilin,soybean,2004,166.91
Jilin,wheat,2004,3.37
Liaoning,maize,2004,1079.7
Liaoning,rice,2004,401.5
Liaoning,soybean,2004,55.6
Liaoning,wheat,2004,8.9
Ningxia,maize,2004,117.69
Ningxia,rice,2004,52.46
Ningxia,soybean,2004,8.32
Ningxia,wheat,2004,80.42
Qinghai,maize,2004,1.17
Qinghai,rice,2004,0.0
Qinghai,soybean,2004,10.75
Qinghai,wheat,2004,37.11
Shaanxi,maize,2004,407.0
Shaanxi,rice,2004,87.0
Shaanxi,soybean,2004,38.8
Shaanxi,wheat,2004,410.3
Shandong,maize,2004,1499.21
Shandong,rice,2004,90.59
Shandong,soybean,2004,76.19
Shandong,wheat,2004,1584.5
Shanghai,maize,2004,2.56
Shanghai,rice,2004,89.46
Shanghai,soybean,2004,2.65
Shanghai,wheat,2004,7.95
Shanxi,maize,2004,631.87
Shanxi,rice,2004,1.07
Shanxi,soybean,2004,48.8
Shanxi,wheat,2004,237.12
Sichuan,maize,2004,557.4
Sichuan,rice,2004,1519.7
Sichuan,soybean,2004,121.6
Sichuan,wheat,2004,415.7
Tianjin,maize,2004,68.21
Tianjin,rice,2004,11.09
Tianjin,soybean,2004,4.59
Tianjin,wheat,2004,37.81
Tibet,maize,2004,1.64
Tibet,rice,2004,0.55
Tibet,soybean,2004,3.09
Tibet,wheat,2004,26.06
Xinjiang,maize,2004,361.46
Xinjiang,rice,2004,39.31
Xinjiang,soybean,2004,20.47
Xinjiang,wheat,2004,352.7
Yunnan,maize,2004,425.66
Yunnan,rice,2004,639.4
Yunnan,soybean,2004,61.3
Yunnan,wheat,2004,121.67
Zhejiang,maize,2004,22.48
Zhejiang,rice,2004,686.94
Zhejiang,soybean,2004,41.01
Zhejiang,wheat,2004,19.04
Anhui,maize,2005,264.9
Anhui,rice,2005,1250.8
Anhui,soybean,2005,95.5
Anhui,wheat,2005,808.1
Beijing,maize,2005,62.58
Beijing,rice,2005,0.46
Beijing,soybean,2005,2.4
Beijing,wheat,2005,26.74
Chongqing,maize,2005,233.13
Chongqing,rice,2005,521.5
Chongqing,soybean,2005,42.16
Chongqing,wheat,2005,78.64
Fujian,maize,2005,13.18
Fujian,rice,2005,526.57
Fujian,soybean,2005,24.69
Fujian,wheat,2005,1.95
Gansu,maize,2005,248.51
Gansu,rice,2005,4.11
Gansu,soybean,2005,41.65
Gansu,wheat,2005,264.84
Guangdong,maize,2005,61.52
Guangdong,rice,2005,1116.99
Guangdong,soybean,2005,24.38
Guangdong,wheat,2005,1.85
Guangxi,maize,2005,212.0
Guangxi,rice,2005,1169.1
Guangxi,soybean,2005,40.3
Guangxi,wheat,2005,1.8
Guizhou,maize,2005,344.29
Guizhou,rice,2005,472.8
Guizhou,soybean,2005,37.76
Guizhou,wheat,2005,73.0
Hainan,maize,2005,5.39
Hainan,rice,2005,110.56
Hainan,soybean,2005,2.18
Hainan,wheat,2005,
Hebei,maize,2005,1193.83
Hebei,rice,2005,51.56
Hebei,soybean,2005,51.24
Hebei,wheat,2005,1150.33
Heilongjiang,maize,2005,1042.9
Heilongjiang,rice,2005,1121.5
Heilongjiang,soybean,2005,680.0
Heilongjiang,wheat,2005,94.0
Henan,maize,2005,1298.0
Henan,rice,2005,359.77
Henan,soybean,2005,74.44
Henan,wheat,2005,2577.69
Hubei,maize,2005,194.91
Hubei,rice,2005,1535.32
Hubei,soybean,2005,65.01
Hubei,wheat,2005,208.85
Hunan,maize,2005,134.0
Hunan,rice,2005,2296.2
Hunan,soybean,2005,56.7
Hunan,wheat,2005,13.4
Inner_Mongolia,maize,2005,1066.2
Inner_Mongolia,rice,2005,62.15
Inner_Mongolia,soybean,2005,164.05
Inner_Mongolia,wheat,2005,143.56
Jiangsu,maize,2005,174.79
Jiangsu,rice,2005,1706.71
Jiangsu,soybean,2005,82.42
Jiangsu,wheat,2005,728.52
Jiangxi,maize,2005,6.25
Jiangxi,rice,2005,1667.2
Jiangxi,soybean,2005,24.87
Jiangxi,wheat,2005,2.73
Jilin,maize,2005,1800.72
Jilin,rice,2005,473.29
Jilin,soybean,2005,152.83
Jilin,wheat,2005,2.68
Liaoning,maize,2005,1135.5
Liaoning,rice,2005,416.5
Liaoning,soybean,2005,43.6
Liaoning,wheat,2005,7.9
Ningxia,maize,2005,121.41
Ningxia,rice,2005,61.06
Ningxia,soybean,2005,6.03
Ningxia,wheat,2005,79.41
Qinghai,maize,2005,0.89
Qinghai,rice,2005,0.0
Qinghai,soybean,2005,11.75
Qinghai,wheat,2005,39.32
Shaanxi,maize,2005,459.7
Shaanxi,rice,2005,89.2
Shaanxi,soybean,2005,37.1
Shaanxi,wheat,2005,401.2
Shandong,maize,2005,1735.41
Shandong,rice,2005,95.8
Shandong,soybean,2005,68.15
Shandong,wheat,2005,1800.53
Shanghai,maize,2005,2.83
Shanghai,rice,2005,85.45
Shanghai,soybean,2005,3.17
Shanghai,wheat,2005,9.92
Shanxi,maize,2005,616.13
Shanxi,rice,2005,0.9
Shanxi,soybean,2005,36.67
Shanxi,wheat,2005,202.28
Sichuan,maize,2005,580.8
Sichuan,rice,2005,1505.7
Sichuan,soybean,2005,131.5
Sichuan,wheat,2005,427.4
Tianjin,maize,2005,73.16
Tianjin,rice,2005,12.18
Tianjin,soybean,2005,3.87
Tianjin,wheat,2005,47.42
Tibet,maize,2005,1.65
Tibet,rice,2005,0.55
Tibet,soybean,2005,3.24
Tibet,wheat,2005,25.55
Xinjiang,maize,2005,376.72
Xinjiang,rice,2005,53.79
Xinjiang,soybean,2005,25.43
