i,c,t,s,k,exposure
Anhui,soybean,2009,historical,drought,0.8633400717301939
Anhui,soybean,2009,historical,heat,-0.2726769878133581
Anhui,soybean,2010,historical,compound,-0.22039659723750374
Anhui,soybean,2010,historical,drought,0.012547835305368219
Anhui,soybean,2010,historical,heat,-0.09553423956206963
Anhui,soybean,2011,historical,compound,-0.4986150665366898
Anhui,soybean,2011,historical,drought,0.6678976206941979
Anhui,soybean,2011,historical,heat,-0.2458992931917098
Anhui,soybean,2012,historical,compound,-0.05495397541126856
Anhui,soybean,2012,historical,drought,1.139183569457128
Anhui,soybean,2012,historical,heat,-0.40122667851469235
Anhui,soybean,2013,historical,compound,1.0861140439258479
Anhui,soybean,2013,historical,drought,0.9290773313894665
Anhui,soybean,2013,historical,heat,0.42345061260653716
Anhui,soybean,2014,historical,compound,-0.3078017305625968
Anhui,soybean,2014,historical,drought,-0.8023356550004231
Anhui,soybean,2014,historical,heat,-0.414007584989119
Anhui,soybean,2015,historical,compound,-1.1755458070431095
Anhui,soybean,2015,historical,drought,-1.1989315783237053
Anhui,soybean,2015,historical,heat,-1.0589365482374766
Anhui,soybean,2016,historical,compound,-0.5195264787563088
Anhui,soybean,2016,historical,drought,-2.6477951717952433
Anhui,soybean,2016,historical,heat,-0.3066879245537875
Anhui,soybean,2017,historical,compound,-0.1628214799885076
Anhui,soybean,2017,historical,drought,-1.3743077674296738
Anhui,soybean,2017,historical,heat,-0.1929896383318539
Anhui,soybean,2018,historical,compound,-0.2468360248673727
Anhui,soybean,2018,historical,drought,-1.088306915735859
Anhui,soybean,2018,historical,heat,-0.22963899441135419
Anhui,soybean,2019,historical,compound,0.4991610882228865
Anhui,soybean,2019,historical,drought,1.4900076767641022
Anhui,soybean,2019,historical,heat,-0.18619279977547187
Anhui,soybean,2020,historical,compound,0.8963694214337656
Anhui,soybean,2020,historical,drought,-1.2707216094324818
Anhui,soybean,2020,historical,heat,1.5177667495156728
Anhui,soybean,2021,historical,compound,0.8846273895847735
Anhui,soybean,2021,historical,drought,-1.009970952790792
Anhui,soybean,2021,historical,heat,1.3534803010024135
Anhui,soybean,2022,historical,compound,1.1622123699162918
Anhui,soybean,2022,historical,drought,3.012048052259845
Anhui,soybean,2022,historical,heat,1.8319696911782641
Anhui,wheat,1998,historical,compound,-0.6593196260765032
Anhui,wheat,1998,historical,drought,-0.01584733063829047
Anhui,wheat,1998,historical,heat,0.2553433635837088
Anhui,wheat,1999,historical,compound,0.1602747243288892
Anhui,wheat,1999,historical,drought,-0.15284627829777428
Anhui,wheat,1999,historical,heat,-0.11006394832494733
Anhui,wheat,2000,historical,compound,0.4140849433445359
Anhui,wheat,2000,historical,drought,-0.3785830610130043
Anhui,wheat,2000,historical,heat,0.17559188339169052
Anhui,wheat,2001,historical,compound,-0.24144173705988903
Anhui,wheat,2001,historical,drought,-0.5664211761234336
Anhui,wheat,2001,historical,heat,-0.34129297703253475
Anhui,wheat,2002,historical,compound,0.2148516698857901
Anhui,wheat,2002,historical,drought,0.4577069086956316
Anhui,wheat,2002,historical,heat,-0.10078331476466135
Anhui,wheat,2003,historical,compound,0.2519124388116391
Anhui,wheat,2003,historical,drought,0.04119676847233844
Anhui,wheat,2003,historical,heat,-0.012736593603380234
Anhui,wheat,2004,historical,compound,-0.14653102042465374
Anhui,wheat,2004,historical,drought,-0.21623320098048693
Anhui,wheat,2004,historical,heat,-0.26789179216960657
Anhui,wheat,2005,historical,compound,0.6988170932502418
Anhui,wheat,2005,historical,drought,1.7929109228365665
Anhui,wheat,2005,historical,heat,0.473783227572336
Anhui,wheat,2006,historical,compound,-0.25527774526927516
Anhui,wheat,2006,historical,drought,0.361813372773256
Anhui,wheat,2006,historical,heat,0.3553896003521168
Anhui,wheat,2007,historical,compound,-0.06333447571494506
Anhui,wheat,2007,historical,drought,0.39516996785436626
Anhui,wheat,2007,historical,heat,-0.4780708784951632
Anhui,wheat,2008,historical,compound,-0.3544090467910311
Anhui,wheat,2008,historical,drought,1.4807732619382745
Anhui,wheat,2008,historical,heat,0.9101219842408854
Anhui,wheat,2009,historical,compound,-0.11348725325073512
Anhui,wheat,2009,historical,drought,0.38583590674789997
Anhui,wheat,2009,historical,heat,0.016307212188949666
Anhui,wheat,2010,historical,compound,-0.3790116441919084
Anhui,wheat,2010,historical,drought,0.5901715310014553
Anhui,wheat,2010,historical,heat,-0.2790976793271136
Anhui,wheat,2011,historical,compound,0.5015020729407652
Anhui,wheat,2011,historical,drought,-0.12452682296685473
Anhui,wheat,2011,historical,heat,-0.166499097310383
Anhui,wheat,2012,historical,compound,-0.21474039105635057
Anhui,wheat,2012,historical,drought,1.0122334094865568
Anhui,wheat,2012,historical,heat,-0.23128382338197714
Anhui,wheat,2013,historical,compound,0.25001727334356844
Anhui,wheat,2013,historical,drought,0.3621679760052972
Anhui,wheat,2013,historical,heat,-0.36615867597864676
Anhui,wheat,2014,historical,compound,0.5387664250012045
Anhui,wheat,2014,historical,drought,0.31108346309121837
Anhui,wheat,2014,historical,heat,-0.41993862878412624
Anhui,wheat,2015,historical,compound,-1.0558679198447256
Anhui,wheat,2015,historical,drought,-1.945641136219291
Anhui,wheat,2015,historical,heat,-0.6408280485773412
Anhui,wheat,2016,historical,compound,-1.3181193086334135
Anhui,wheat,2016,historical,drought,-1.3557148484214798
Anhui,wheat,2016,historical,heat,-0.6177000194529495
Anhui,wheat,2017,historical,compound,-0.06988048001991572
Anhui,wheat,2017,historical,drought,-1.550510862710466
Anhui,wheat,2017,historical,heat,-0.32214383271833036
Anhui,wheat,2018,historical,compound,-0.7392431686337266
Anhui,wheat,2018,historical,drought,-1.5811222910061309
Anhui,wheat,2018,historical,heat,-0.41348135572690087
Anhui,wheat,2019,historical,compound,0.03252382365432562
Anhui,wheat,2019,historical,drought,0.1625059971254478
Anhui,wheat,2019,historical,heat,-0.2904372830143872
Anhui,wheat,2020,historical,compound,0.7307096945555346
Anhui,wheat,2020,historical,drought,-0.40617617387291033
Anhui,wheat,2020,historical,heat,-0.0638942816641707
Anhui,wheat,2021,historical,compound,0.7136006841936632
Anhui,wheat,2021,historical,drought,0.19987628835576418
Anhui,wheat,2021,historical,heat,0.9419789467558095
Anhui,wheat,2022,historical,compound,1.1036029736569148
Anhui,wheat,2022,historical,drought,0.7401774078660486
Anhui,wheat,2022,historical,heat,1.993786012241123
Beijing,maize,1997,historical,compound,-0.17849801312903865
Beijing,maize,1997,historical,drought,0.22181311923992286
Beijing,maize,1997,historical,heat,-0.1541367886697316
Beijing,maize,1998,historical,compound,-1.2303017227861142
Beijing,maize,1998,historical,drought,-2.559948372312492
Beijing,maize,1998,historical,heat,-0.8948577508693388
Beijing,maize,1999,historical,compound,-0.38297673810190364
Beijing,maize,1999,historical,drought,-0.3236731003793433
Beijing,maize,1999,historical,heat,-0.004022018779115492
Beijing,maize,2000,historical,compound,0.21936021178144005
Beijing,maize,2000,historical,drought,0.24903911893057495
Beijing,maize,2000,historical,heat,0.3142573861853835
Beijing,maize,2001,historical,compound,0.2974390193435877
Beijing,maize,2001,historical,drought,0.6850598574772816
Beijing,maize,2001,historical,heat,0.008530160958801733
Beijing,maize,2002,historical,compound,-0.2609447638912178
Beijing,maize,2002,historical,drought,0.48052325793435485
Beijing,maize,2002,historical,heat,-0.4224367091511101
Beijing,maize,2003,historical,compound,-0.035602529105909185
Beijing,maize,2003,historical,drought,-0.6019299966355867
Beijing,maize,2003,historical,heat,-0.5203138609834337
Beijing,maize,2004,historical,compound,-0.2511969894080021
Beijing,maize,2004,historical,drought,0.0056508027290001666
Beijing,maize,2004,historical,heat,-1.0194734570816109
Beijing,maize,2005,historical,compound,-0.32523253239634836
Beijing,maize,2005,historical,drought,0.3002464913301308
Beijing,maize,2005,historical,heat,-0.224843123698284
Beijing,maize,2006,historical,compound,-0.31968567705366385
Beijing,maize,2006,historical,drought,0.09157961835830257
Beijing,maize,2006,historical,heat,-0.6478655445013854
Beijing,maize,2007,historical,compound,0.7549879514085148
Beijing,maize,2007,historical,drought,0.5153762796269247
Beijing,maize,2007,historical,heat,0.16113721583136606
Beijing,maize,2008,historical,compound,-1.0529393870793375
Beijing,maize,2008,historical,drought,-1.72160826278607
Beijing,maize,2008,historical,heat,-0.6863446693198774
Beijing,maize,2009,historical,compound,0.25165173563373533
Beijing,maize,2009,historical,drought,1.3292714517227866
Beijing,maize,2009,historical,heat,-0.20145008228269692
Beijing,maize,2010,historical,compound,0.3086328682502626
Beijing,maize,2010,historical,drought,-0.49848587031418434
Beijing,maize,2010,historical,heat,0.09041591936253257
Beijing,maize,2011,historical,compound,-0.09777029957772798
Beijing,maize,2011,historical,drought,0.1536865102166891
Beijing,maize,2011,historical,heat,-0.5330051530372034
Beijing,maize,2012,historical,compound,0.036521987896748896
Beijing,maize,2012,historical,drought,-0.4068325158065708
Beijing,maize,2012,historical,heat,-0.7158928446738547
Beijing,maize,2013,historical,compound,-0.23646675923951802
Beijing,maize,2013,historical,drought,-0.4667599153639057
Beijing,maize,2013,historical,heat,-0.32448891678252406
Beijing,maize,2014,historical,compound,0.42326785244009657
Beijing,maize,2014,historical,drought,1.3055005164111309
Beijing,maize,2014,historical,heat,0.5672202399829429
Beijing,maize,2015,historical,compound,0.24304064977521733
Beijing,maize,2015,historical,drought,0.7008913719170002
Beijing,maize,2015,historical,heat,0.09414595434923019
Beijing,maize,2016,historical,compound,0.4561657076995714
Beijing,maize,2016,historical,drought,0.0153683879275692
Beijing,maize,2016,historical,heat,0.27020635282071703
Beijing,maize,2017,historical,compound,0.42226536071496285
Beijing,maize,2017,historical,drought,0.3535752736460864
Beijing,maize,2017,historical,heat,1.1242282363028584
Beijing,maize,2018,historical,compound,-0.1700781625212635
Beijing,maize,2018,historical,drought,0.5694987604088744
Beijing,maize,2018,historical,heat,0.6183034802228667
Beijing,maize,2019,historical,compound,0.997850718434781
Beijing,maize,2019,historical,drought,0.8364890051723761
Beijing,maize,2019,historical,heat,1.004467302019192
Beijing,maize,2020,historical,compound,0.33970931437058116
Beijing,maize,2020,historical,drought,0.2599124914796673
Beijing,maize,2020,historical,heat,1.0142414148153984
Beijing,maize,2021,historical,compound,-0.8899482687067253
Beijing,maize,2021,historical,drought,-2.180046977145364
Beijing,maize,2021,historical,heat,-0.26190907375095307
Beijing,maize,2022,historical,compound,0.6807484652472678
Beijing,maize,2022,historical,drought,0.6858026962148397
Beijing,maize,2022,historical,heat,1.3438863307298299
Beijing,rice,1997,historical,compound,-0.4084875946977539
Beijing,rice,1997,historical,drought,0.785057366929173
Beijing,rice,1997,historical,heat,-0.13077784777610632
Beijing,rice,1998,historical,compound,-0.9589168546012857
Beijing,rice,1998,historical,drought,-3.041457831974862
Beijing,rice,1998,historical,heat,-0.6564618766360899
Beijing,rice,1999,historical,compound,-0.3740857659537831
Beijing,rice,1999,historical,drought,-0.09787468932887415
Beijing,rice,1999,historical,heat,-0.048704172515782164
Beijing,rice,2000,historical,compound,0.18698479847768354
Beijing,rice,2000,historical,drought,0.1972548115301461
Beijing,rice,2000,historical,heat,0.19313569624284402
Beijing,rice,2001,historical,compound,0.049377483501800566
Beijing,rice,2001,historical,drought,-0.30181915396779857
Beijing,rice,2001,historical,heat,-0.2011684375033085
Beijing,rice,2002,historical,compound,-0.44288942344172466
Beijing,rice,2002,historical,drought,-0.17949066576807524
Beijing,rice,2002,historical,heat,-0.41993421230247474
Beijing,rice,2003,historical,compound,-0.19143531770599465
Beijing,rice,2003,historical,drought,-0.7782991811392265
Beijing,rice,2003,historical,heat,-0.4812704109307737
Beijing,rice,2004,historical,compound,0.3671573315653058
Beijing,rice,2004,historical,drought,0.40474602204879745
Beijing,rice,2004,historical,heat,-0.7061149896261192
Beijing,rice,2005,historical,compound,0.10506192130164098
Beijing,rice,2005,historical,drought,1.6610830532714245
Beijing,rice,2005,historical,heat,0.19241532969392305
Beijing,rice,2006,historical,compound,1.0334643474317844
Beijing,rice,2006,historical,drought,0.8646973484914398
Beijing,rice,2006,historical,heat,1.1372053165897178
Beijing,rice,2007,historical,compound,0.3589939421975372
Beijing,rice,2007,historical,drought,0.22477559016230808
Beijing,rice,2007,historical,heat,-0.1973714346945293
Beijing,rice,2008,historical,compound,-0.8901131971133444
Beijing,rice,2008,historical,drought,-1.688345411854469
Beijing,rice,2008,historical,heat,-0.6127051219691956
Beijing,rice,2009,historical,compound,-0.09887113600201723
Beijing,rice,2009,historical,drought,1.3830884603211573
Beijing,rice,2009,historical,heat,-0.2221979911895439
Beijing,rice,2010,historical,compound,-0.030067478514075763
Beijing,rice,2010,historical,drought,-1.0540245117827887
Beijing,rice,2010,historical,heat,-0.13223823341517268
Beijing,rice,2011,historical,compound,-0.22583714644996536
Beijing,rice,2011,historical,drought,0.3411094682991211
Beijing,rice,2011,historical,heat,-0.25670849733663414
Beijing,rice,2012,historical,compound,-0.15703348896202388
Beijing,rice,2012,historical,drought,-0.39759301058955093
Beijing,rice,2012,historical,heat,-0.5656807030979415
Beijing,rice,2013,historical,compound,-0.44288942344172466
Beijing,rice,2013,historical,drought,-0.40773362191241574
Beijing,rice,2013,historical,heat,-0.3828404160081969
Beijing,rice,2014,historical,compound,0.11818114098974204
Beijing,rice,2014,historical,drought,0.7445503380988372
Beijing,rice,2014,historical,heat,0.3636179354324289
Beijing,rice,2015,historical,compound,0.49412334201325403
Beijing,rice,2015,historical,drought,0.4125535233396911
Beijing,rice,2015,historical,heat,0.21315280643109621
Beijing,rice,2016,historical,compound,0.11818114098974204
Beijing,rice,2016,historical,drought,-1.0894710541139745
Beijing,rice,2016,historical,heat,0.1839904968327483
Beijing,rice,2017,historical,compound,0.8487829339808961
Beijing,rice,2017,historical,drought,0.2084857872924677
Beijing,rice,2017,historical,heat,1.5666579073961124
Beijing,rice,2018,historical,compound,-0.4084875946977539
Beijing,rice,2018,historical,drought,0.5482963887476004
Beijing,rice,2018,historical,heat,0.22468002687734456
Beijing,rice,2019,historical,compound,1.1897350093382688
Beijing,rice,2019,historical,drought,-0.020614277912967143
Beijing,rice,2019,historical,heat,0.2988676194133261
Beijing,rice,2020,historical,compound,0.3352334179815013
