Years,Provinces,Total sown area of crops (thousand hectares)  ,Sown area of grain crops (thousand hectares)  ,Sown area of rice (thousand hectares)  ,Sown area of wheat (thousand hectares)  ,Sown area of corn (thousand hectares)  ,soybeans (thousand hectares)  
2008,Yunnan,6056.189 ,4095.930 ,1017.530 ,425.000 ,1325.800 ,565.130 
2009,Yunnan,6343.858 ,4200.130 ,1039.830 ,432.400 ,1354.220 ,573.830 
2010,Yunnan,6437.327 ,4274.400 ,1021.000 ,428.900 ,1417.800 ,579.400 
2011,Yunnan,6667.468 ,4326.900 ,1073.450 ,437.900 ,1409.000 ,574.590 
2012,Yunnan,6920.408 ,4399.570 ,1082.870 ,442.200 ,1456.910 ,572.490 
2013,Yunnan,7148.156 ,4499.400 ,1152.700 ,437.270 ,1505.100 ,566.350 
2014,Yunnan,7194.430 ,4508.200 ,1144.700 ,434.400 ,1525.700 ,559.900 
2015,Yunnan,7185.628 ,4487.300 ,1134.800 ,432.700 ,1517.300 ,549.600 
2016,Yunnan,7164.464 ,4481.170 ,1130.000 ,430.300 ,1513.200 ,552.600 
2017,Yunnan,6790.804 ,4169.211 ,870.558 ,343.680 ,1763.813 ,468.442 
2018,Yunnan,6890.772 ,4174.577 ,849.551 ,339.200 ,1785.200 ,469.411 
2019,Yunnan,6938.855 ,4165.757 ,841.500 ,328.902 ,1782.400 ,482.000 
2020,Yunnan,6989.672 ,4167.400 ,818.934 ,320.000 ,1802.457 ,484.600 
2021,Yunnan,7057.243 ,4191.377 ,753.829 ,291.131 ,1879.370 ,464.419 
2022,Yunnan,7130.631 ,4210.971 ,709.461 ,266.759 ,1917.505 ,495.525 
1997,Tibet,228.600 ,197.400 ,1.100 ,53.900 ,3.100 ,13.900 
1998,Tibet,229.400 ,200.400 ,1.100 ,55.000 ,3.200 ,12.500 
1999,Tibet,230.400 ,200.760 ,1.030 ,54.730 ,3.030 ,11.780 
2000,Tibet,231.050 ,201.440 ,1.010 ,51.910 ,3.150 ,10.530 
2001,Tibet,230.860 ,199.120 ,1.060 ,46.990 ,3.420 ,10.600 
2002,Tibet,232.900 ,195.200 ,1.700 ,44.800 ,3.600 ,11.100 
2003,Tibet,233.660 ,185.920 ,1.010 ,42.210 ,3.290 ,9.930 
2004,Tibet,231.240 ,179.790 ,1.050 ,40.640 ,3.300 ,9.000 
2005,Tibet,234.960 ,177.680 ,1.020 ,42.000 ,3.340 ,8.970 
2006,Tibet,233.010 ,171.650 ,0.980 ,41.490 ,3.390 ,8.050 
2007,Tibet,232.920 ,171.780 ,1.000 ,40.290 ,3.300 ,7.790 
2008,Tibet,235.830 ,170.620 ,0.980 ,37.340 ,4.020 ,7.080 
2009,Tibet,235.070 ,169.430 ,1.000 ,36.760 ,4.020 ,6.660 
2010,Tibet,240.190 ,170.150 ,0.980 ,37.050 ,4.220 ,6.620 
2011,Tibet,241.430 ,170.150 ,1.000 ,37.600 ,4.150 ,6.450 
2012,Tibet,243.954 ,170.860 ,0.970 ,37.730 ,4.350 ,6.310 
2013,Tibet,248.570 ,175.870 ,0.950 ,37.810 ,4.320 ,5.840 
2014,Tibet,250.950 ,176.400 ,0.990 ,36.920 ,4.160 ,5.710 
2015,Tibet,252.790 ,178.890 ,0.940 ,36.330 ,4.530 ,5.060 
2016,Tibet,257.904 ,182.937 ,1.024 ,36.553 ,4.705 ,5.674 
2017,Tibet,254.053 ,185.648 ,0.890 ,39.347 ,4.877 ,4.667 
2018,Tibet,270.381 ,184.684 ,0.943 ,31.734 ,5.155 ,4.549 
2019,Tibet,271.533 ,184.775 ,0.774 ,32.346 ,4.738 ,5.004 
2020,Tibet,272.076 ,182.312 ,0.947 ,29.862 ,4.430 ,5.220 
2021,Tibet,274.192 ,186.477 ,0.771 ,32.490 ,4.769 ,5.162 
2022,Tibet,277.243 ,192.592 ,0.825 ,32.617 ,4.550 ,4.740 
1997,Shaanxi,4504.100 ,3811.500 ,153.900 ,1602.800 ,915.900 ,422.400 
1998,Shaanxi,4697.200 ,4030.100 ,160.000 ,1610.500 ,1065.200 ,472.800 
1999,Shaanxi,4726.300 ,4026.970 ,154.590 ,1589.450 ,1123.410 ,438.480 
2000,Shaanxi,4555.388 ,3821.500 ,144.800 ,1537.200 ,1057.000 ,395.300 
2001,Shaanxi,4331.850 ,3517.630 ,140.780 ,1424.240 ,1005.060 ,359.840 
2002,Shaanxi,4198.300 ,3397.200 ,130.500 ,1356.700 ,999.900 ,357.300 
2003,Shaanxi,4055.775 ,3122.800 ,139.500 ,1233.300 ,948.300 ,379.900 
2004,Shaanxi,4099.828 ,3134.100 ,145.800 ,1152.700 ,1047.400 ,370.400 
2005,Shaanxi,4201.833 ,3263.900 ,147.100 ,1211.533 ,1097.100 ,382.300 
2006,Shaanxi,4247.859 ,3295.000 ,146.500 ,1204.500 ,1121.800 ,381.300 
2007,Shaanxi,4044.744 ,3099.812 ,115.256 ,1144.635 ,1153.954 ,213.860 
2008,Shaanxi,4165.757 ,3126.010 ,124.630 ,1140.000 ,1157.600 ,228.930 
2009,Shaanxi,4154.103 ,3133.973 ,125.333 ,1145.973 ,1164.000 ,227.333 
2010,Shaanxi,4185.590 ,3159.700 ,121.600 ,1148.900 ,1182.400 ,224.000 
2011,Shaanxi,4181.037 ,3134.867 ,120.933 ,1136.667 ,1177.800 ,225.333 
2012,Shaanxi,4238.313 ,3127.533 ,123.333 ,1127.600 ,1167.400 ,223.400 
2013,Shaanxi,4269.020 ,3105.130 ,123.720 ,1094.800 ,1166.230 ,211.330 
2014,Shaanxi,4262.140 ,3076.540 ,123.420 ,1082.870 ,1153.730 ,189.400 
2015,Shaanxi,4284.479 ,3073.519 ,122.800 ,1085.600 ,1151.680 ,187.833 
2016,Shaanxi,4276.920 ,3068.710 ,122.720 ,1082.600 ,1150.210 ,188.400 
2017,Shaanxi,4063.883 ,3019.396 ,105.635 ,963.146 ,1196.880 ,189.111 
2018,Shaanxi,4091.010 ,3005.980 ,105.393 ,967.307 ,1179.473 ,188.420 
2019,Shaanxi,4132.090 ,2998.920 ,105.320 ,965.927 ,1177.053 ,188.040 
2020,Shaanxi,4160.847 ,3001.047 ,105.087 ,964.193 ,1179.440 ,188.267 
2021,Shaanxi,4189.267 ,3004.340 ,106.050 ,955.070 ,1182.480 ,201.580 
2022,Shaanxi,4212.233 ,3017.474 ,106.093 ,958.008 ,1188.431 ,222.320 
1997,Gansu,3757.900 ,2880.900 ,6.800 ,1320.100 ,486.200 ,79.200 
1998,Gansu,3767.800 ,2890.500 ,8.400 ,1323.500 ,511.700 ,162.300 
1999,Gansu,3808.600 ,2910.670 ,7.030 ,1222.710 ,531.170 ,247.910 
2000,Gansu,3740.180 ,2798.210 ,7.240 ,1192.190 ,464.360 ,261.670 
2001,Gansu,3688.900 ,2690.620 ,7.140 ,1123.950 ,467.050 ,251.090 
2002,Gansu,3649.900 ,2628.800 ,6.300 ,1080.000 ,503.500 ,234.000 
2003,Gansu,3620.920 ,2499.460 ,4.790 ,961.340 ,490.470 ,230.740 
2004,Gansu,3668.890 ,2534.600 ,4.910 ,933.500 ,487.730 ,234.470 
2005,Gansu,3726.010 ,2587.190 ,5.100 ,1000.830 ,484.790 ,245.050 
2006,Gansu,3743.430 ,2598.920 ,5.310 ,995.160 ,493.270 ,224.850 
2007,Gansu,3759.002 ,2687.030 ,5.280 ,982.130 ,492.000 ,233.100 
2008,Gansu,3868.610 ,2682.990 ,5.530 ,903.530 ,557.210 ,227.930 
2009,Gansu,3938.640 ,2740.030 ,5.670 ,963.860 ,657.800 ,207.210 
2010,Gansu,3995.180 ,2799.780 ,5.830 ,879.650 ,835.480 ,198.870 
2011,Gansu,4094.760 ,2833.650 ,,861.600 ,838.730 ,199.550 
2012,Gansu,4099.840 ,2839.400 ,5.570 ,833.930 ,902.670 ,191.330 
2013,Gansu,4155.940 ,2858.700 ,5.260 ,811.680 ,976.130 ,183.670 
2014,Gansu,4197.510 ,2842.460 ,5.140 ,792.500 ,1000.910 ,176.000 
2015,Gansu,4229.330 ,2849.630 ,4.470 ,794.800 ,1014.150 ,172.050 
2016,Gansu,4253.840 ,2813.950 ,4.650 ,762.330 ,1000.820 ,173.180 
2017,Gansu,3752.031 ,2647.160 ,4.041 ,766.471 ,1040.967 ,127.888 
2018,Gansu,3773.553 ,2645.253 ,3.815 ,775.561 ,1012.742 ,137.510 
2019,Gansu,3831.575 ,2581.109 ,3.586 ,739.936 ,987.917 ,141.551 
2020,Gansu,3931.825 ,2638.295 ,3.394 ,708.716 ,1000.811 ,163.808 
2021,Gansu,3997.944 ,2676.756 ,3.133 ,711.274 ,1051.824 ,160.741 
2022,Gansu,4061.945 ,2699.762 ,2.493 ,739.490 ,1074.469 ,159.469 
1997,Qinghai,568.000 ,394.700 ,,213.500 ,,58.800 
1998,Qinghai,566.900 ,384.900 ,,211.900 ,2.300 ,58.100 
1999,Qinghai,571.000 ,344.830 ,,182.890 ,2.470 ,52.650 
2000,Qinghai,553.680 ,322.700 ,,165.600 ,2.100 ,50.500 
2001,Qinghai,529.020 ,312.200 ,,156.200 ,2.300 ,47.000 
2002,Qinghai,494.300 ,284.700 ,142.500 ,142.500 ,1.800 ,48.200 
2003,Qinghai,466.800 ,248.000 ,,107.000 ,,39.700 
2004,Qinghai,473.300 ,244.700 ,,102.200 ,1.580 ,40.100 
2005,Qinghai,476.730 ,245.570 ,,96.800 ,1.090 ,40.870 
2006,Qinghai,489.783 ,260.260 ,0.000 ,98.350 ,1.040 ,45.960 
2007,Qinghai,516.682 ,301.835 ,,154.026 ,2.314 ,44.811 
2008,Qinghai,513.630 ,271.990 ,,104.400 ,2.060 ,39.110 
2009,Qinghai,514.050 ,275.720 ,,104.130 ,5.250 ,42.310 
2010,Qinghai,546.930 ,274.510 ,,100.960 ,12.330 ,36.170 
2011,Qinghai,547.730 ,279.410 ,,94.030 ,20.470 ,32.310 
2012,Qinghai,554.211 ,280.180 ,,94.230 ,22.940 ,33.050 
2013,Qinghai,555.774 ,279.970 ,,95.420 ,23.290 ,27.140 
2014,Qinghai,553.700 ,280.100 ,,88.580 ,27.000 ,27.030 
2015,Qinghai,558.390 ,277.060 ,,88.210 ,27.500 ,26.800 
2016,Qinghai,561.327 ,281.050 ,,86.270 ,26.620 ,28.500 
2017,Qinghai,555.314 ,282.560 ,,112.418 ,18.896 ,13.247 
2018,Qinghai,557.253 ,281.260 ,,111.600 ,18.450 ,12.760 
2019,Qinghai,553.542 ,280.200 ,,102.410 ,20.970 ,14.000 
2020,Qinghai,571.421 ,290.030 ,,94.790 ,21.370 ,14.910 
2021,Qinghai,583.867 ,302.410 ,,98.820 ,22.540 ,15.100 
2022,Qinghai,586.191 ,303.470 ,,101.260 ,22.670 ,14.130 
1997,Ningxia,977.600 ,781.800 ,67.200 ,312.200 ,131.800 ,91.000 
1998,Ningxia,1005.300 ,817.400 ,66.500 ,316.800 ,143.200 ,101.100 
1999,Ningxia,1031.100 ,835.750 ,70.960 ,267.470 ,162.700 ,85.860 
2000,Ningxia,1016.480 ,807.100 ,76.700 ,292.600 ,131.100 ,80.000 
2001,Ningxia,1007.590 ,781.400 ,74.200 ,299.300 ,147.800 ,84.400 
2002,Ningxia,1147.900 ,881.100 ,76.400 ,370.800 ,155.100 ,103.500 
2003,Ningxia,1129.480 ,805.320 ,46.710 ,319.280 ,176.340 ,110.320 
2004,Ningxia,1158.310 ,791.660 ,64.380 ,279.030 ,187.850 ,84.600 
2005,Ningxia,1099.330 ,775.910 ,71.250 ,276.020 ,178.290 ,70.940 
2006,Ningxia,1127.240 ,795.600 ,81.700 ,227.400 ,174.500 ,54.900 
2007,Ningxia,1189.834 ,856.330 ,77.000 ,233.730 ,206.000 ,23.470 
2008,Ningxia,1209.650 ,826.160 ,80.290 ,204.290 ,208.520 ,59.760 
2009,Ningxia,1226.670 ,826.880 ,78.240 ,218.460 ,215.080 ,47.790 
2010,Ningxia,1247.860 ,844.050 ,83.160 ,211.370 ,223.410 ,48.730 
2011,Ningxia,1260.390 ,852.440 ,83.942 ,202.101 ,231.105 ,38.867 
2012,Ningxia,1241.181 ,828.300 ,84.300 ,179.000 ,245.900 ,36.000 
2013,Ningxia,1264.651 ,801.600 ,82.140 ,148.830 ,262.020 ,29.280 
2014,Ningxia,1253.162 ,771.330 ,78.050 ,127.470 ,288.750 ,28.370 
2015,Ningxia,1264.635 ,770.420 ,74.340 ,122.450 ,301.770 ,28.100 
2016,Ningxia,1275.239 ,778.320 ,75.050 ,126.190 ,296.900 ,29.530 
2017,Ningxia,1132.628 ,722.512 ,81.088 ,123.133 ,306.330 ,18.702 
2018,Ningxia,1164.568 ,735.680 ,78.010 ,128.590 ,310.790 ,22.600 
2019,Ningxia,1152.959 ,677.363 ,68.054 ,107.770 ,299.777 ,17.250 
2020,Ningxia,1174.226 ,679.180 ,60.820 ,92.920 ,322.730 ,12.660 
2021,Ningxia,1175.910 ,689.287 ,50.837 ,67.041 ,367.418 ,8.878 
2022,Ningxia,1189.489 ,692.293 ,29.375 ,81.356 ,365.593 ,27.458 
1997,Xinjiang,3191.500 ,1683.800 ,82.100 ,1017.400 ,439.800 ,55.400 
1998,Xinjiang,3278.600 ,1585.600 ,69.100 ,966.800 ,428.600 ,61.000 
1999,Xinjiang,3379.900 ,1538.990 ,75.560 ,888.500 ,432.910 ,68.120 
2000,Xinjiang,3391.550 ,1468.160 ,78.110 ,838.830 ,382.420 ,91.780 
2001,Xinjiang,3404.120 ,1415.730 ,73.280 ,744.270 ,410.290 ,113.580 
2002,Xinjiang,3478.300 ,1514.600 ,75.000 ,749.700 ,501.900 ,107.200 
2003,Xinjiang,3535.020 ,1377.200 ,67.160 ,661.500 ,467.900 ,104.410 
2004,Xinjiang,3592.260 ,1413.900 ,66.770 ,686.350 ,517.970 ,83.440 
2005,Xinjiang,3731.163 ,1492.800 ,69.270 ,737.240 ,526.090 ,98.290 
2006,Xinjiang,3817.873 ,1496.030 ,64.990 ,728.010 ,521.240 ,96.620 
2007,Xinjiang,4202.627 ,1379.060 ,70.950 ,605.770 ,529.780 ,78.420 
2008,Xinjiang,4486.665 ,1585.200 ,70.760 ,735.770 ,585.490 ,96.390 
2009,Xinjiang,4663.808 ,1984.700 ,72.500 ,1153.867 ,598.380 ,100.750 
2010,Xinjiang,4758.635 ,2028.600 ,66.930 ,1120.010 ,653.820 ,112.250 
2011,Xinjiang,4983.473 ,2047.480 ,70.590 ,1077.980 ,728.000 ,84.260 
2012,Xinjiang,5123.899 ,2131.170 ,69.230 ,1081.040 ,855.720 ,68.750 
2013,Xinjiang,5212.264 ,2234.800 ,67.290 ,1120.980 ,920.800 ,73.940 
2014,Xinjiang,5517.632 ,2255.850 ,75.060 ,1142.350 ,910.800 ,72.360 
2015,Xinjiang,5757.254 ,2395.020 ,66.170 ,1239.330 ,961.870 ,71.660 
2016,Xinjiang,5867.522 ,2401.130 ,69.180 ,1289.380 ,918.680 ,73.090 
2017,Xinjiang,5886.962 ,2295.856 ,74.243 ,1126.832 ,1019.929 ,42.428 
2018,Xinjiang,6068.887 ,2219.633 ,78.387 ,1031.470 ,1033.287 ,44.507 
2019,Xinjiang,6169.993 ,2203.610 ,56.920 ,1061.590 ,997.200 ,49.790 
2020,Xinjiang,6280.010 ,2230.190 ,47.630 ,1069.020 ,1051.050 ,32.680 
2021,Xinjiang,6387.420 ,2371.650 ,44.320 ,1135.250 ,1110.260 ,39.320 
2022,Xinjiang,6493.126 ,2433.897 ,36.710 ,1153.598 ,1145.560 ,52.360 
